date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:13:40	173892/173892	---M-Z	200	added ('OK')	text/html	etag:W/%22fc53defebd92c1f7ada956c53ccf37f4%22	https://petshop.vn/	D:/New%20folder/ShopPet/petshop.vn/index.html	(from )
00:13:41	220/220	---M-Z	200	added ('OK')	text/plain	etag:W/%22b548681885e55d3893dad4f6b48e49cf%22	https://petshop.vn/robots.txt		(from )
00:13:41	328/328	---MCZ	200	added ('OK')	text/css	date:Sat,%2024%20Jun%202023%2004:08:15%20GMT	http://bizweb.dktcdn.net/100/147/060/themes/880570/assets/font.scss.css?1687579687145	D:/New%20folder/ShopPet/bizweb.dktcdn.net/100/147/060/themes/880570/assets/font.scssb828.css	(from https://petshop.vn/)
00:13:42	155372/155372	---MCZ	200	added ('OK')	text/css	date:Sat,%2024%20Jun%202023%2004:08:14%20GMT	http://bizweb.dktcdn.net/100/147/060/themes/880570/assets/bootstrap.css?1687579687145	D:/New%20folder/ShopPet/bizweb.dktcdn.net/100/147/060/themes/880570/assets/bootstrapb828.css	(from https://petshop.vn/)
00:13:43	70331/70331	---MCZ	200	added ('OK')	text/css	date:Sat,%2024%20Jun%202023%2004:08:14%20GMT	http://bizweb.dktcdn.net/100/147/060/themes/880570/assets/evo-main.scss.css?1687579687145	D:/New%20folder/ShopPet/bizweb.dktcdn.net/100/147/060/themes/880570/assets/evo-main.scssb828.css	(from https://petshop.vn/)
00:13:43	32458/32458	---MCZ	200	added ('OK')	text/css	date:Sat,%2024%20Jun%202023%2004:13:24%20GMT	http://bizweb.dktcdn.net/100/147/060/themes/880570/assets/evo-index.scss.css?1687579687145	D:/New%20folder/ShopPet/bizweb.dktcdn.net/100/147/060/themes/880570/assets/evo-index.scssb828.css	(from https://petshop.vn/)
00:13:43	13642/13642	---MCZ	200	added ('OK')	text/css	date:Sat,%2024%20Jun%202023%2004:08:14%20GMT	http://bizweb.dktcdn.net/100/147/060/themes/880570/assets/swiper.scss.css?1687579687145	D:/New%20folder/ShopPet/bizweb.dktcdn.net/100/147/060/themes/880570/assets/swiper.scssb828.css	(from https://petshop.vn/)
00:13:49	101791/101791	---M--	200	added ('OK')	image/png	date:Mon,%2031%20Jul%202023%2008:29:05%20GMT	http://bizweb.dktcdn.net/100/147/060/themes/880570/assets/favicon.png?1687579687145	D:/New%20folder/ShopPet/bizweb.dktcdn.net/100/147/060/themes/880570/assets/faviconb828.png	(from https://petshop.vn/)
00:13:49	101791/101791	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Aug%202023%2023:41:18%20GMT	https://bizweb.dktcdn.net/100/147/060/themes/880570/assets/logo.png?1687579687145	D:/New%20folder/ShopPet/bizweb.dktcdn.net/100/147/060/themes/880570/assets/logob828.png	(from https://petshop.vn/)
00:13:50	204/204	---M--	302	error ('Redirect')	text/html	date:Mon,%2002%20Oct%202023%2017:13:44%20GMT	http://promotionpopup.sapoapps.vn/genscript/script.js?store=petshopvt.mysapo.net	D:/New%20folder/ShopPet/promotionpopup.sapoapps.vn/genscript/script.86cbd.delayed	(from https://petshop.vn/)
00:13:50	26545/26545	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2001%20Jan%201970%2000:00:01%20GMT	https://forms.sapoapps.vn/libs/js/surveyform.min.js?store=petshopvt.mysapo.net	D:/New%20folder/ShopPet/forms.sapoapps.vn/libs/js/surveyform.min6cbd.js	(from https://petshop.vn/)
00:13:50	0/0	---M--	200	added ('OK')	application/javascript	date:Mon,%2002%20Oct%202023%2017:13:45%20GMT	https://promotionpopup.sapoapps.vn/genscript/script.js?store=petshopvt.mysapo.net	D:/New%20folder/ShopPet/promotionpopup.sapoapps.vn/genscript/script.96cbd.delayed	(from https://petshop.vn/)
00:13:51	0/0	---M--	200	added ('OK')	application/javascript	date:Mon,%2002%20Oct%202023%2017:13:46%20GMT	https://google-shopping.sapoapps.vn/conversion-tracker/global-tag/1849.js?store=petshopvt.mysapo.net	D:/New%20folder/ShopPet/google-shopping.sapoapps.vn/conversion-tracker/global-tag/1849.a6cbd.delayed	(from https://petshop.vn/)
00:13:51	0/0	---M--	200	added ('OK')	application/javascript	date:Mon,%2002%20Oct%202023%2017:13:46%20GMT	https://google-shopping.sapoapps.vn/conversion-tracker/event-tag/1849.js?store=petshopvt.mysapo.net	D:/New%20folder/ShopPet/google-shopping.sapoapps.vn/conversion-tracker/event-tag/18496cbd.js	(from https://petshop.vn/)
00:13:52	111759/111759	---MCZ	200	added ('OK')	application/javascript	etag:W/%226518b764-1b48f%22	http://static.zotabox.com/6/5/65ff127d363f6362a64ec5d3e5f488d8/widgets.js?store=petshopvt.mysapo.net	D:/New%20folder/ShopPet/static.zotabox.com/6/5/65ff127d363f6362a64ec5d3e5f488d8/widgets6cbd.js	(from https://petshop.vn/)
00:13:52	76539/76539	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%228a0e3a38460554b7629e55dbb341a741%22	https://petshop.vn/s	D:/New%20folder/ShopPet/petshop.vn/s.d.delayed	(from https://petshop.vn/)
00:13:52	8729/8729	---MCZ	200	added ('OK')	application/javascript	etag:W/%221d9f284ad39cc19%22	https://petshop.vn/dist/js/stats.min.js?v=8177d93	D:/New%20folder/ShopPet/petshop.vn/dist/js/stats.minb066.js	(from https://petshop.vn/)
00:13:52	2988/2988	---MCZ	200	added ('OK')	application/javascript	etag:W/%221d9f284ad39e5ac%22	https://petshop.vn/dist/js/store_events_listener.min.js?v=8ee4227	D:/New%20folder/ShopPet/petshop.vn/dist/js/store_events_listener.min983a.js	(from https://petshop.vn/)
00:13:55	21362/21362	---M--	200	added ('OK')	image/png	date:Sun,%2025%20Jun%202023%2004:35:17%20GMT	http://bizweb.dktcdn.net/100/147/060/themes/880570/assets/logomb.png?1687579687145	D:/New%20folder/ShopPet/bizweb.dktcdn.net/100/147/060/themes/880570/assets/logombb828.png	(from https://petshop.vn/)
00:13:58	318862/318862	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2024%20Jun%202023%2004:08:08%20GMT	http://bizweb.dktcdn.net/100/147/060/themes/880570/assets/jquery.js?1687579687145	D:/New%20folder/ShopPet/bizweb.dktcdn.net/100/147/060/themes/880570/assets/jqueryb828.js	(from https://petshop.vn/)
00:13:58	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2002%20Oct%202023%2017:13:49%20GMT	https://petshop.vn/account	D:/New%20folder/ShopPet/petshop.vn/account	(from https://petshop.vn/)
00:13:59	82859/82859	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202023%2017:13:54%20GMT	https://petshop.vn/account/login?ReturnUrl=%2Faccount	D:/New%20folder/ShopPet/petshop.vn/account/logina3b1.html	(from https://petshop.vn/)
00:13:59	82803/82803	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202023%2017:13:54%20GMT	https://petshop.vn/account/login	D:/New%20folder/ShopPet/petshop.vn/account/login.html	(from https://petshop.vn/)
00:14:00	82165/82165	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202023%2017:13:55%20GMT	https://petshop.vn/account/register	D:/New%20folder/ShopPet/petshop.vn/account/register.html	(from https://petshop.vn/)
00:14:00	154842/154842	---M-Z	200	added ('OK')	text/html	etag:W/%22b616ca0b945e575565cd7042c552f88c%22	https://petshop.vn/collections/all	D:/New%20folder/ShopPet/petshop.vn/collections/all.html	(from https://petshop.vn/)
00:14:01	195101/195101	---M-Z	200	added ('OK')	text/html	etag:W/%22a9e14d780f859de1213f486e6ba90659%22	https://petshop.vn/tui-xach-balo	D:/New%20folder/ShopPet/petshop.vn/tui-xach-balo.html	(from https://petshop.vn/)
00:14:01	159751/159751	---M-Z	200	added ('OK')	text/html	etag:W/%2287c6a863298b25770c5ca24df6927a1d%22	https://petshop.vn/quan-ao	D:/New%20folder/ShopPet/petshop.vn/quan-ao.html	(from https://petshop.vn/)
00:14:02	133400/133400	---M-Z	200	added ('OK')	text/html	etag:W/%228e7fa8b9fba2456bee3865d314c48148%22	https://petshop.vn/do-bo-tre-em	D:/New%20folder/ShopPet/petshop.vn/do-bo-tre-em.html	(from https://petshop.vn/)
00:14:02	133037/133037	---M-Z	200	added ('OK')	text/html	etag:W/%220dca05b151fa41603ce5d408386eb5a0%22	https://petshop.vn/non-tre-em	D:/New%20folder/ShopPet/petshop.vn/non-tre-em.html	(from https://petshop.vn/)
00:14:02	131902/131902	---M-Z	200	added ('OK')	text/html	etag:W/%22d1a28f76d60df7cbf234787366e8da01%22	https://petshop.vn/dep	D:/New%20folder/ShopPet/petshop.vn/dep.html	(from https://petshop.vn/)
00:14:03	112252/112252	---M-Z	200	added ('OK')	text/html	etag:W/%22591a1a61ec64b27298fe8615908934e8%22	https://petshop.vn/phu-kien-thoi-trang	D:/New%20folder/ShopPet/petshop.vn/phu-kien-thoi-trang.html	(from https://petshop.vn/)
00:14:03	130426/130426	---M-Z	200	added ('OK')	text/html	etag:W/%224c33e3a3bd1dcf2b92084683eb15e891%22	https://petshop.vn/quan-ao-nguoi-lon	D:/New%20folder/ShopPet/petshop.vn/quan-ao-nguoi-lon.html	(from https://petshop.vn/)
00:14:03	130388/130388	---M-Z	200	added ('OK')	text/html	etag:W/%22099586dfcac843c679fb0e9966550644%22	https://petshop.vn/non-nguoi-lon	D:/New%20folder/ShopPet/petshop.vn/non-nguoi-lon.html	(from https://petshop.vn/)
00:14:04	152270/152270	---M-Z	200	added ('OK')	text/html	etag:W/%2288e6abbbcd79a88bad620a7fde51c457%22	https://petshop.vn/phong-ngu	D:/New%20folder/ShopPet/petshop.vn/phong-ngu.html	(from https://petshop.vn/)
00:14:04	134671/134671	---M-Z	200	added ('OK')	text/html	etag:W/%222849d179daaa77f7c08b364682e80f40%22	https://petshop.vn/bo-men-nguoi-lon	D:/New%20folder/ShopPet/petshop.vn/bo-men-nguoi-lon.html	(from https://petshop.vn/)
00:14:05	133921/133921	---M-Z	200	added ('OK')	text/html	etag:W/%22beda1d6dd76265b287c1720d497573f7%22	https://petshop.vn/goi-nam	D:/New%20folder/ShopPet/petshop.vn/goi-nam.html	(from https://petshop.vn/)
00:14:05	134333/134333	---M-Z	200	added ('OK')	text/html	etag:W/%22a6afd2ac37785024b3f8f4e8c4b8f0a5%22	https://petshop.vn/goi-om	D:/New%20folder/ShopPet/petshop.vn/goi-om.html	(from https://petshop.vn/)
00:14:06	134532/134532	---M-Z	200	added ('OK')	text/html	etag:W/%22c9616d064278597181c3d8adf019a4e2%22	https://petshop.vn/chan	D:/New%20folder/ShopPet/petshop.vn/chan.html	(from https://petshop.vn/)
00:14:06	133066/133066	---M-Z	200	added ('OK')	text/html	etag:W/%22d2e58a85a53ed46235d45908a9ba8d19%22	https://petshop.vn/nem	D:/New%20folder/ShopPet/petshop.vn/nem.html	(from https://petshop.vn/)
00:14:07	107012/107012	---M-Z	200	added ('OK')	text/html	etag:W/%221dd91a722fe195c1d63f4f77078100af%22	https://petshop.vn/tham	D:/New%20folder/ShopPet/petshop.vn/tham.html	(from https://petshop.vn/)
00:14:07	134987/134987	---M-Z	200	added ('OK')	text/html	etag:W/%22b021f4e419eb0ab8a8f8d62cb8ade84b%22	https://petshop.vn/thu-nhoi-bong	D:/New%20folder/ShopPet/petshop.vn/thu-nhoi-bong.html	(from https://petshop.vn/)
00:14:07	96027/96027	---M-Z	200	added ('OK')	text/html	etag:W/%226119b190104d4781ea2ccb450794a85e%22	https://petshop.vn/dem	D:/New%20folder/ShopPet/petshop.vn/dem.html	(from https://petshop.vn/)
00:14:08	134842/134842	---M-Z	200	added ('OK')	text/html	etag:W/%2258e7913512c6ae8e7fec9ef2457be3f3%22	https://petshop.vn/goi-tre-nz-485p-25x34cm-1	D:/New%20folder/ShopPet/petshop.vn/goi-tre-nz-485p-25x34cm-1.html	(from https://petshop.vn/)
00:14:09	211784/211784	---M-Z	200	added ('OK')	text/html	etag:W/%2205c5990ee37ad26bee6c4f582369c026%22	https://petshop.vn/vat-dung-nha-bep	D:/New%20folder/ShopPet/petshop.vn/vat-dung-nha-bep.html	(from https://petshop.vn/)
00:14:09	117124/117124	---M-Z	200	added ('OK')	text/html	etag:W/%22478661b8c4540284ddf8c0075cae2f54%22	https://petshop.vn/tap-de	D:/New%20folder/ShopPet/petshop.vn/tap-de.html	(from https://petshop.vn/)
00:14:09	108840/108840	---M-Z	200	added ('OK')	text/html	etag:W/%223c182a6eb7b286f04cc07b4a7950cc22%22	https://petshop.vn/bao-tay	D:/New%20folder/ShopPet/petshop.vn/bao-tay.html	(from https://petshop.vn/)
00:14:09	112112/112112	---M-Z	200	added ('OK')	text/html	etag:W/%22000a74c319ebc88a8fccd9d138b6ab27%22	https://petshop.vn/bao-hop-khan-giay	D:/New%20folder/ShopPet/petshop.vn/bao-hop-khan-giay.html	(from https://petshop.vn/)
00:14:10	106230/106230	---M-Z	200	added ('OK')	text/html	etag:W/%22c398fcd79cb29bb990bb1f5e9ff3c573%22	https://petshop.vn/mieng-nhac-noi	D:/New%20folder/ShopPet/petshop.vn/mieng-nhac-noi.html	(from https://petshop.vn/)
00:14:10	132820/132820	---M-Z	200	added ('OK')	text/html	etag:W/%229e7a605f3c8dc2940e7954879f9dbfda%22	https://petshop.vn/tui-treo-tuong	D:/New%20folder/ShopPet/petshop.vn/tui-treo-tuong.html	(from https://petshop.vn/)
00:14:10	172155/172155	---M-Z	200	added ('OK')	text/html	etag:W/%22f4c8ba25f57892cf8a14046ff62ac12f%22	https://petshop.vn/do-thun-christlie	D:/New%20folder/ShopPet/petshop.vn/do-thun-christlie.html	(from https://petshop.vn/)
00:14:11	130265/130265	---M-Z	200	added ('OK')	text/html	etag:W/%229b0bd3d906244c926297faa5edfac9e7%22	https://petshop.vn/hanh-trang-den-truong	D:/New%20folder/ShopPet/petshop.vn/hanh-trang-den-truong.html	(from https://petshop.vn/)
00:14:11	126911/126911	---M-Z	200	added ('OK')	text/html	etag:W/%228f88413bdd9d946e3d486320b3f146fc%22	https://petshop.vn/hanh-trang-cong-so	D:/New%20folder/ShopPet/petshop.vn/hanh-trang-cong-so.html	(from https://petshop.vn/)
00:14:11	127397/127397	---M-Z	200	added ('OK')	text/html	etag:W/%2288b925e5c7d873fc75f5aa97b62f12b2%22	https://petshop.vn/xuan-vui-sac-mau-2023	D:/New%20folder/ShopPet/petshop.vn/xuan-vui-sac-mau-2023.html	(from https://petshop.vn/)
00:14:12	190417/190417	---M-Z	200	added ('OK')	text/html	etag:W/%223dad68e70ca12b36214e9455ddea471f%22	https://petshop.vn/bop-vi-tui-nho	D:/New%20folder/ShopPet/petshop.vn/bop-vi-tui-nho.html	(from https://petshop.vn/)
00:14:12	129249/129249	---M-Z	200	added ('OK')	text/html	etag:W/%2205de02294584a62a4f0ba2407f4efd3b%22	https://petshop.vn/goi-ke-co	D:/New%20folder/ShopPet/petshop.vn/goi-ke-co.html	(from https://petshop.vn/)
00:14:13	120371/120371	---M-Z	200	added ('OK')	text/html	etag:W/%22509aa48e7c8d99d053005207930968c8%22	https://petshop.vn/bop-tui-deo-bung	D:/New%20folder/ShopPet/petshop.vn/bop-tui-deo-bung.html	(from https://petshop.vn/)
00:14:13	129117/129117	---M-Z	200	added ('OK')	text/html	etag:W/%229b3d5ee87dcc88406cec7301034ee6dd%22	https://petshop.vn/khau-trang	D:/New%20folder/ShopPet/petshop.vn/khau-trang.html	(from https://petshop.vn/)
00:14:13	150307/150307	---M-Z	200	added ('OK')	text/html	etag:W/%2214ae7e14f31c7c04059d414dabac3274%22	https://petshop.vn/non-khau-trang	D:/New%20folder/ShopPet/petshop.vn/non-khau-trang.html	(from https://petshop.vn/)
00:14:14	131471/131471	---M-Z	200	added ('OK')	text/html	etag:W/%22ef3beeecbf584cd6a7cc4f3b0d2b8c77%22	https://petshop.vn/petshop	D:/New%20folder/ShopPet/petshop.vn/petshop.html	(from https://petshop.vn/)
00:14:14	99409/99409	---M-Z	200	added ('OK')	text/html	etag:W/%22535b11e6761295256908c66c2b649082%22	https://petshop.vn/christlie	D:/New%20folder/ShopPet/petshop.vn/christlie.html	(from https://petshop.vn/)
